pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH_out,Calcite,Dolomite
6.031382690028719,0.0059937465718787,4.253407884305694e-08,9.420576341244288e-09,8.306133311966011e-07,0.0785253722149908,0.0028329958235348,0.0073374028826656,0.0823380195469713,0.122,0.122,0.0903745330871009,0.0103073430759979,0.0075201344470601,0.0073389647487149,5.88876704699781,0.11321964738878,0.1204752125470963
7.667194504209874,0.0012250054737694,1.1090301513716785e-07,8.094345745765295e-09,7.960363123132974e-07,0.0011294656221511,0.0006459052435098,0.0025536924447094,0.0960719281478948,0.122,0.122,0.0022652378588484,0.0013523699734296,0.0010084175767899,0.0025537390938867,7.591547568488857,0.1204310565069183,0.1222166063177533
6.285389897816662,0.003735929519054,9.049825976382077e-08,2.1042992878140263e-10,2.900731362365875e-07,0.0229966181038525,0.0048943404498325,0.0092796507461471,0.0224920186376664,0.122,0.122,0.0316874675774162,0.007163880104808,0.0052605173815754,0.0092807982388218,6.230771701555399,0.1163609433029416,0.1204760625562255
7.60864493611165,0.0014494647742776,1.2161279115085617e-07,4.3479258499711014e-09,3.762632096056521e-07,0.0468428275831265,0.0026319284197214,0.0027132718550364,0.0113796978112684,0.122,0.122,0.058291790238756,0.0074381008656826,0.0054510546363902,0.0027138263206849,6.062556462257314,0.1185638993205481,0.1179995238504788
6.384676365417782,0.0036141712705199,1.580497595529009e-07,8.386285746732493e-09,3.676357843274559e-07,0.0720946755823493,0.0036201846098663,0.002880611295191,0.0873307743151999,0.122,0.122,0.0838938707571102,0.00889661599244,0.0065022412649356,0.0028812219725477,5.93605170984253,0.1159919698779457,0.1191133081609455
7.049954270525407,0.0013103427912322,7.346655963262205e-08,9.139095872621644e-09,5.257996310609977e-07,0.0198115487812394,0.008682913648314,0.0021001348822101,0.0228514116846462,0.122,0.122,0.0270444936461478,0.0049171447369023,0.0036237513883333,0.0021004073905696,6.35807063578288,0.1193964408050742,0.119687061551
7.819717594626423,0.0050287585677129,6.85270027970198e-08,2.36822855237274e-09,8.469481190373272e-07,0.0329529580458702,0.007728005643318,0.0050232830254816,0.0175967289483454,0.122,0.122,0.0395858815767942,0.006722074252153,0.0049362813157578,0.0050238818610201,6.184225620819412,0.1151856637266647,0.1220930656457038
6.215374543542582,0.008272377904487,6.317073317508919e-08,5.163881607324841e-09,9.066731198756204e-07,0.0478145526391972,0.0053109608423213,0.0056631368950861,0.0124853874557609,0.122,0.122,0.0531242677938678,0.007836514165165,0.0057418114496972,0.0056636771991919,6.075304627995587,0.1116331243746088,0.1245311142127555
7.064009416930093,0.0060050978222176,1.4293235944794152e-07,7.259627207070437e-09,6.255057532867164e-07,0.0511113590979087,0.0053839071554449,0.0049043137780872,0.0524293299361238,0.122,0.122,0.0590042061551696,0.0080190186487977,0.0058725350286676,0.0049050094701651,6.043929881218784,0.1138487302594334,0.1221333957126549
6.6202373309124045,0.0039863548291924,5.5502797600094384e-08,7.813556260713231e-09,7.08669857545946e-07,0.0842982962069232,0.0005452040494715,0.0012660486509196,0.0863333853034014,0.122,0.122,0.0960653719261949,0.0090939845542488,0.0066424747136943,0.0012663163117547,5.899230394861154,0.1155626613185853,0.119345284133051
7.729689723059323,0.0023750626178191,8.554633524377264e-08,8.825005227983283e-09,2.1545187980496739e-07,0.0040785307206289,0.0072592431315011,0.0050217238160612,0.0530937100890641,0.122,0.122,0.0070736572345382,0.0030830874807074,0.0022870274671415,0.0050219685226346,6.901554656148298,0.1188289249834129,0.1220881465911718
6.141979794816907,0.00999580359154,3.4426827473842045e-08,3.0209327835845527e-09,6.963077360977694e-07,0.0627963515823237,0.0073763109515481,0.0083016122188258,0.0526134625983169,0.122,0.122,0.0691775344715812,0.0094587830550505,0.0069121525101468,0.0083025640543419,5.970769536223438,0.1094578608392875,0.1250844435151818
7.2238677387374,0.0049315221110231,1.5956496596439298e-07,8.249891618778052e-10,3.412579922275256e-07,0.0673600706608,0.0039150790847926,0.0049429430134856,0.0704575048290309,0.122,0.122,0.0782076171015306,0.0091094089417452,0.0066574921849573,0.0049439064664045,5.948276166391191,0.114617039778992,0.1202753273171716
6.74670399734742,0.0095907199793771,9.851807492514233e-08,4.01985815002196e-09,8.032498557015685e-07,0.0326746443505906,0.0081502478564412,0.001990828639739,0.0779271315070356,0.122,0.122,0.0324319598196112,0.0053846479438093,0.003963493058036,0.0019908198831684,6.286686346906007,0.1109881229037941,0.1276272094880177
6.751755827916343,0.0073335768900513,5.515942375905135e-08,8.989686763378904e-09,3.562674406591615e-07,0.0227281714424565,0.0051797703802932,0.0069683740236049,0.0724236411981593,0.122,0.122,0.0258711557287669,0.0060348020914389,0.0044408992177599,0.0069687673124971,6.324523216448132,0.1130726191793537,0.1248929282985866
7.656180650753839,0.0048969875585895,6.164495221071991e-08,9.918930530336229e-09,8.848829700096793e-07,0.0021761919366303,0.0024314171516206,0.0020986241923708,0.0100640798672798,0.122,0.122,1.3804120832772174e-05,0.0012319932293543,0.0015026122814668,0.0020986209906786,11.386757160812516,0.1173736418253145,0.1253943729847116
6.258369631065163,0.0051480499370214,1.0037935378231645e-07,3.920548891847394e-09,4.993029189538308e-07,0.0454791044595142,0.0091517152028872,0.0056511440432923,0.0448117787431017,0.122,0.122,0.0540089753512248,0.0078908010070826,0.0057809408617985,0.0056520103819376,6.0696645833885725,0.1147424172370443,0.1213679951762977
7.271822961740469,0.0059477635383039,6.946550977936368e-08,6.5954015022493194e-09,3.152079426518682e-07,0.0259313204421401,0.0040125168292814,0.0072162860806524,0.0440197552051606,0.122,0.122,0.0314568083207031,0.0066120585677168,0.0048592152055143,0.0072170026118156,6.249969616912299,0.1142995737237766,0.1230890307739511
6.756843488659229,0.0040883685519093,1.4096296633292185e-07,4.091980687535291e-09,6.979111653338805e-07,0.0469637516247971,0.0048827247343329,0.0035223416412771,0.0663040632720468,0.122,0.122,0.0558488988697078,0.0074825948653037,0.00548407816532,0.0035229041313179,6.07215542933392,0.1159134379364064,0.1206051660105732
