pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH_out,Calcite,Dolomite
7.664125242824301,0.0065058673747493,1.2586460102678546e-07,7.453973622941775e-09,3.897886932659099e-07,0.0620430538638996,0.0044386313856939,0.0019585791270286,0.0905570586886366,0.122,0.122,0.0692248995283269,0.0078983085473537,0.0057822445250096,0.0019588318939335,6.00720702675373,0.1133783491129576,0.1227243689883216
6.714674857754263,0.0057743235688386,9.41434946324481e-08,5.614639208172999e-09,4.686459319130358e-07,0.0764503737983096,0.0050049449417746,0.004368621578421,0.0122555546242578,0.122,0.122,0.0869739511407165,0.0094109391791894,0.0068736033061238,0.004369447635345,5.916068850758794,0.1136888258635428,0.1209020197376319
6.072422135280327,0.0076475647109949,1.6897100019370882e-07,5.222815607178331e-09,7.735300529366166e-07,0.0462124142519025,0.0017242420565128,0.0035467588801271,5.271518849634544e-05,0.122,0.122,0.0510024367717232,0.0071734197572951,0.0052608537067741,0.0035470641233068,6.104168326693585,0.1124400390474819,0.1243871637278417
6.802389704080566,0.0094753113282838,1.3301347692470357e-07,6.891128135333412e-09,6.663807654213333e-07,0.0889999091827754,0.0027297502794733,0.0050827918464743,0.0123269442120913,0.122,0.122,0.0969326745672328,0.0100578748843877,0.0073388761087989,0.0050835161670963,5.876944350929001,0.1098060842015607,0.124137480893214
6.211093275400665,0.0064172140631321,7.820836273348971e-08,6.701784545252439e-09,7.738839484543826e-07,0.0991247005295565,0.0064486093701141,0.0010956385823184,0.078935542838525,0.122,0.122,0.1094133054472006,0.0096481200964504,0.0070405715916207,0.0010958410758548,5.856727496511537,0.1129757259662067,0.1213779434541735
6.664457550935496,0.0047591610558929,1.849070616481969e-07,2.7190737065867434e-09,4.345909036395718e-07,0.0443862777390705,0.0085473613832004,0.0012487514294827,0.0281192120689577,0.122,0.122,0.0511135715704852,0.0066220268046715,0.0048596396468669,0.0012489024109916,6.120509295964591,0.1154786675627534,0.1219001088974639
7.502199491082723,0.0081266092804794,7.755070265778401e-08,7.308366667874773e-09,7.51795216079642e-07,0.0686885797854641,0.0004336680706957,0.0025917575314659,0.0007757285582753,0.122,0.122,0.0750623018994494,0.0083703123915762,0.0061230909780558,0.0025920543300029,5.975427528776589,0.1116264339284293,0.1240042194159878
6.232622551910117,0.00868189175401,7.491728584834722e-08,7.92379224560545e-09,5.442636436398204e-07,0.0935680907241867,0.0012624072746377,0.0094120268076975,0.0189900097355424,0.122,0.122,0.1047492249169106,0.0114822595428104,0.008363725047565,0.0094139172009388,5.832559541793375,0.1102002079023235,0.122319846212326
6.669914769258258,0.0070752912340534,4.8377797395086524e-08,2.5492391818894404e-09,7.167094556862542e-07,0.0840412895341937,0.0048223409332299,0.0034002193192628,0.0927632754183096,0.122,0.122,0.0933858324393176,0.0094827426664188,0.0069241722822173,0.003400790178495,5.897542356218597,0.1123665704145597,0.122152281248675
6.444677301325941,0.0016318046170871,1.5705663386199845e-08,9.94531056785776e-09,9.039136161485626e-07,0.0485925075978977,0.0009008007266272,0.0037588776293091,0.0660737736467387,0.122,0.122,0.0605361466634852,0.0078304876094577,0.0057353356129439,0.0037596484764531,6.042384461630459,0.1182734829042993,0.1178976449297928
7.95704237785228,0.0028183166192116,6.285621905758808e-08,7.913033041859287e-10,7.368309649869935e-07,0.0981764130301694,0.0027778760474705,0.0013291815471682,0.0194835322965265,0.122,0.122,0.1123846844709114,0.0098304750245283,0.0071717811308193,0.0013295207168021,5.846734175092607,0.1165236685289906,0.1176483650577625
7.946872756733241,0.0020501839860417,1.6562481616099102e-07,3.950666018655815e-09,3.0193012564180934e-07,0.0252091158258462,5.01111564122636e-05,0.0051241049161592,0.0052867685424602,0.122,0.122,0.0341056039808834,0.0063072392131563,0.0046361629471313,0.0051248293006534,6.238065002974287,0.1182789799019271,0.1194146763513811
6.00835287182366,0.0057707877335906,1.1844111958523117e-07,4.304998990316822e-09,8.948337620571126e-07,0.0194752657840961,0.0044138557847864,0.0063166646703335,0.0679268769509353,0.122,0.122,0.0234777511883989,0.0056275430333285,0.0041447491175343,0.0063171188110374,6.367883824385843,0.1147465292543806,0.12362633658406
6.98339083267572,0.0052036841003654,1.810260577655632e-07,4.654603674521816e-09,7.385219037385773e-07,0.005483598636741,0.0085342247971999,0.0065134660193483,0.0224860947412861,0.122,0.122,0.0060124223556471,0.0032912699669866,0.002441239877953,0.0065135271943373,6.941667329855872,0.1159462984486793,0.1247624671505157
6.863837361540913,0.0089763952818289,1.9489670033207318e-07,9.587970587404827e-10,9.169133793770572e-07,0.0423190243027099,0.0030320187128024,0.0025519204568974,0.058984636282415,0.122,0.122,0.0445898091152158,0.0064843507899371,0.0047614710626748,0.0025520244850384,6.160466538424381,0.1113007961794297,0.1262151183109371
7.942985392820208,0.0093549663871425,1.6273783483014572e-07,3.701223671584887e-09,3.647634862517837e-07,0.0501763597767154,0.0047301832899452,0.0030691318783099,0.0955187536262855,0.122,0.122,0.0533190290230017,0.0072091845078303,0.0052861509020665,0.0030693050975209,6.091738772684395,0.1107221122365847,0.1260691138141312
6.88429800023206,0.0011719709872005,2.0808049348453343e-08,9.625673850272816e-09,2.894600501621119e-07,0.0396087319682656,0.0066110257317703,0.0062944083929201,0.013110903426398,0.122,0.122,0.0521879582854425,0.0079330932614011,0.0058121528546636,0.0062953845367476,6.077320075172255,0.118707427098523,0.1173607193478796
6.7377916840022944,0.0012025378374182,1.1408338146098573e-07,4.470932104566744e-09,7.688783205385766e-07,0.0008811754402402,0.0063122318998036,0.0049111391306694,0.084523376257704,0.122,0.122,0.0038572942812422,0.002396544771984,0.0017821190325768,0.0049111797076538,7.19806592593295,0.1201830459705943,0.1214204335290056
6.905700597934134,0.0032605136924191,1.2747091475722246e-07,5.349480777025118e-10,2.387060697555085e-07,0.0187903208775206,0.0093032066034892,0.0071317468491009,0.0269848183268063,0.122,0.122,0.0261224545161839,0.0061014110225877,0.0044893642157617,0.0071326068151516,6.319357387418066,0.1171276343973944,0.1207716907515258
