pH,Mg Bound (Initial),Mg Initial,Ca Bound (Initial),Ca Initial,C(4) Bound (Initial),C(4) Initial,Cl Bound (Initial),Cl Initial,cal_ini_mol,dol_ini_mol,C(4) Final,Ca Final,Mg Final,Cl Final,pH,Calcite,Dolomite
6.529826546,0.004190796,1.31E-07,2.81E-09,3.89E-07,7.57E-05,0.002626602,0.007341473,0.061401926,0.122,1.22E-06,1.25E-05,0.002232423,0.001895172,0.007341471,10.74623323,0.117471956,0.002296844
6.425610268,0.005454253,1.06E-07,4.03E-09,9.31E-07,2.98E-05,0.00960283,0.007988965,0.06411567,0.122,1.22E-06,1.14E-05,0.002651985,0.002783942,0.007988965,11.232976,0.116677707,0.002671532
6.194333154,0.005954057,1.83E-07,7.35E-09,2.28E-07,7.40E-05,0.005797494,0.009193437,0.064916464,0.122,1.22E-06,1.13E-05,0.002936762,0.00295454,0.009193437,11.17164629,0.116063729,0.003000737
7.73240899,0.003028124,8.45E-08,8.98E-09,2.58E-07,6.55E-06,0.004680769,0.007745626,0.019905044,0.122,1.22E-06,0.001623389,0.002663533,0.001981432,0.007745615,7.510689744,0.118289784,0.001047909
6.737194747,0.008256375,6.59E-08,8.00E-09,7.71E-07,3.33E-05,0.003296778,0.002981458,0.05646126,0.122,1.22E-06,1.16E-05,0.002671728,0.005562968,0.002981458,11.91457749,0.116634873,0.002694627
7.817158857,0.007184948,1.00E-07,9.71E-09,2.45E-07,9.72E-05,0.006514339,0.001430949,0.092306492,0.122,1.22E-06,1.20E-05,0.002293217,0.004806574,0.001430949,11.90945946,0.117328419,0.002379594
7.887420659,0.005539538,1.58E-07,7.47E-09,6.41E-07,4.69E-05,0.009492595,0.005233728,0.033952018,0.122,1.22E-06,1.18E-05,0.002309678,0.003194756,0.005233728,11.55706468,0.117345547,0.002346003
7.822671793,0.006509239,6.77E-08,6.56E-09,6.25E-07,3.58E-05,0.006181617,0.003113996,0.094160144,0.122,1.22E-06,1.19E-05,0.002312195,0.004173123,0.003113996,11.79339382,0.117351696,0.002337336
7.786298708,0.007532827,1.46E-07,8.45E-09,2.80E-07,6.01E-05,0.009370289,0.008199318,0.025246892,0.122,1.22E-06,1.11E-05,0.003123216,0.004360594,0.008199318,11.58677646,0.11570456,0.003173453
7.355433347,0.002685959,1.43E-07,4.22E-09,6.61E-07,6.85E-05,0.002304989,0.005426058,0.05579943,0.122,1.22E-06,0.00020775,0.001617328,0.001207873,0.005426065,8.565593372,0.11890459,0.001479309
7.780718146,0.007319911,1.11E-07,3.67E-09,9.44E-07,4.76E-05,0.009729702,0.001412622,0.072662969,0.122,1.22E-06,1.20E-05,0.002331193,0.004953132,0.001412622,11.92076872,0.117302032,0.002367999
6.63126482,0.001425067,1.41E-07,2.15E-09,9.50E-07,2.04E-06,0.006756628,0.003692323,0.011444158,0.122,1.22E-06,0.000844946,0.001298597,0.000969375,0.003692323,8.020309434,0.120245714,0.000456912
7.518139096,0.002157284,1.86E-07,6.53E-09,3.98E-07,1.52E-05,0.002080762,0.003616823,0.056833562,0.122,1.22E-06,1.53E-05,0.001168937,0.000988447,0.003616823,10.69099429,0.119662232,0.001170057
6.501938226,0.002512314,1.12E-07,9.22E-09,5.58E-07,5.12E-06,0.000769692,0.005598838,0.069633028,0.122,1.22E-06,0.000588609,0.001773157,0.001322656,0.005598838,8.070729814,0.119037194,0.001190878
7.330965394,0.008887298,1.60E-07,3.19E-09,7.47E-07,7.12E-05,0.00902399,0.006549849,0.0763942,0.122,1.22E-06,1.12E-05,0.003173953,0.005653308,0.006549849,11.80421851,0.115592061,0.00323521
7.212639692,0.001274626,1.78E-07,1.54E-09,5.20E-07,2.06E-05,0.009723445,0.004425107,0.08197636,0.122,1.22E-06,0.001838256,0.001816425,0.001275844,0.004425101,7.577960686,0.120184795,0
6.891383505,0.002915115,1.34E-07,7.11E-09,4.28E-07,2.56E-05,0.003265991,0.007865929,0.068244541,0.122,1.22E-06,0.00196489,0.002784145,0.002070268,0.007865913,7.419412365,0.118371014,0.000846063
6.869311491,0.001392792,6.52E-08,8.80E-09,7.27E-07,8.91E-05,0.002368787,0.008470459,0.095096692,0.122,1.22E-06,0.004902481,0.004812122,0.00139399,0.008470325,6.882891058,0.117189031,0
7.39858088,0.005557488,9.64E-08,2.96E-09,8.08E-07,1.61E-05,0.004579599,0.00975648,0.040117985,0.122,1.22E-06,1.15E-05,0.002953492,0.002599383,0.00975648,10.88295947,0.116088406,0.002959325
6.461083362,0.008030336,6.56E-08,4.35E-09,9.45E-07,5.49E-05,0.008053011,0.00373262,0.036886109,0.122,1.22E-06,1.16E-05,0.002695258,0.005291734,0.00373262,11.87015949,0.116566144,0.002739822
6.837048285,0.001177476,9.45E-08,9.45E-09,6.91E-07,7.15E-05,0.004549017,0.003596412,0.033794622,0.122,1.22E-06,0.001355698,0.001409851,0.00105179,0.003596414,7.790938897,0.120464473,0.000126907
6.748971532,0.005729389,8.59E-08,5.37E-09,5.44E-07,1.09E-05,0.002124339,0.001080136,0.027470157,0.122,1.22E-06,1.24E-05,0.001956057,0.003774849,0.001080136,11.83615248,0.118089408,0.001955761
6.732836126,0.009714862,4.28E-08,9.79E-09,5.14E-07,2.89E-05,0.004304727,0.005645085,0.042632949,0.122,1.22E-06,1.12E-05,0.003233223,0.006463939,0.005645085,11.89694223,0.115515864,0.003252143
7.765740787,0.008383618,1.81E-07,9.59E-09,5.49E-07,7.53E-06,0.006728803,0.008010003,0.034514723,0.122,1.22E-06,1.10E-05,0.003274709,0.00511242,0.008010003,11.69444778,0.115454103,0.003272418
7.388187283,0.009694163,1.64E-07,5.19E-09,6.67E-07,4.92E-05,0.008917991,0.008275786,0.027052892,0.122,1.22E-06,1.09E-05,0.003545457,0.006110409,0.008275786,11.78520709,0.114870795,0.003584974
6.849029313,0.007545375,1.31E-08,2.38E-09,7.51E-07,9.73E-05,0.007063078,0.005250971,0.096791609,0.122,1.22E-06,1.14E-05,0.00274831,0.004711243,0.005250971,11.76257152,0.116417561,0.002835352
7.132058299,0.001609544,1.93E-07,6.47E-09,5.45E-07,6.92E-05,0.009861756,0.008204749,0.069165171,0.122,1.22E-06,0.004380615,0.004310161,0.001610745,0.008204648,6.959381006,0.117691013,0
7.718549032,0.006903361,1.21E-07,6.14E-10,6.19E-07,1.53E-06,0.003702191,0.007536878,0.014078085,0.122,1.22E-06,1.12E-05,0.002915329,0.003997728,0.007536878,11.56403665,0.116179038,0.002906854
7.180625906,0.001023029,7.37E-08,2.20E-10,2.71E-07,3.68E-05,0.003033907,0.004804822,0.046945349,0.122,1.22E-06,0.00261236,0.002574376,0.001024246,0.004804805,7.307498289,0.119426835,0
6.067274339,0.002343681,1.78E-07,7.94E-09,5.85E-07,9.04E-05,0.002477823,0.003290676,0.074739478,0.122,1.22E-06,1.45E-05,0.001178057,0.001089727,0.003290676,10.95040276,0.119567996,0.001255175
7.094474417,0.003257638,1.87E-07,5.61E-09,2.42E-07,5.31E-05,0.008559161,0.007404227,0.008200972,0.122,1.22E-06,0.000975528,0.002395959,0.001784098,0.00740423,7.756018371,0.118130506,0.001474761
6.478489768,0.005256603,1.21E-07,5.53E-09,6.80E-07,8.72E-07,0.005423701,0.009716596,0.078309444,0.122,1.22E-06,1.19E-05,0.002883342,0.00238431,0.009716596,10.66379263,0.116244371,0.002873513
7.193561246,0.005340682,3.05E-08,7.76E-09,3.98E-07,2.15E-05,0.009981164,0.006498122,0.000840549,0.122,1.22E-06,1.16E-05,0.002422644,0.002908152,0.006498122,11.40675817,0.117144834,0.00243375
6.333571112,0.003013451,1.56E-07,2.96E-09,9.38E-07,7.69E-05,0.004337553,0.004892848,0.067620399,0.122,1.22E-06,1.35E-05,0.001571475,0.001378593,0.004892848,10.82902724,0.11879367,0.001636078
7.476666624,0.003919923,1.81E-08,6.68E-09,8.10E-07,5.01E-05,0.002914376,0.003830565,0.055680892,0.122,1.22E-06,1.25E-05,0.001735564,0.00214677,0.003830565,11.42111997,0.11849129,0.001774374
7.597767247,0.005409932,3.50E-08,6.10E-10,3.82E-07,3.72E-05,0.00572837,0.005064148,0.073060825,0.122,1.22E-06,1.18E-05,0.002261238,0.003123299,0.005064148,11.5542947,0.11745213,0.002287853
6.743699094,0.006970564,1.21E-07,7.08E-09,4.01E-07,3.93E-05,0.000905728,0.003601266,0.046117757,0.122,1.22E-06,1.17E-05,0.002461649,0.004481384,0.003601266,11.80442854,0.117049179,0.0024904
6.189550052,0.001323962,1.97E-07,5.50E-09,5.34E-07,7.72E-05,0.003417286,0.006516208,0.075125862,0.122,1.22E-06,0.003558189,0.003479807,0.001325173,0.006516162,7.097064844,0.118521394,0
6.912038187,0.003999629,5.58E-08,7.52E-09,2.13E-07,2.49E-06,0.008426673,0.003064635,0.03659433,0.122,1.22E-06,1.26E-05,0.001695421,0.002314346,0.003064635,11.5252051,0.118619304,0.001686503
7.510785903,0.00265314,1.73E-07,1.25E-09,3.33E-07,5.23E-06,0.004977027,0.004296358,0.080530113,0.122,1.22E-06,1.39E-05,0.001412044,0.001249748,0.004296358,10.8482916,0.119184565,0.001404613
6.741653411,0.001417605,1.57E-07,1.18E-09,7.96E-07,8.15E-05,0.006299077,0.002557775,0.0058644,0.122,1.22E-06,2.83E-05,0.000771652,0.000592768,0.002557774,10.00280912,0.120403512,0.000826057
6.372404893,0.006841982,1.18E-07,9.55E-09,2.17E-07,4.67E-06,0.000586665,0.008083365,0.037826407,0.122,1.22E-06,1.12E-05,0.002976789,0.003871699,0.008083365,11.51091536,0.116052938,0.002971504
6.757581517,0.004831758,6.30E-08,3.31E-09,8.29E-07,7.81E-05,0.002740193,0.006429409,0.085874829,0.122,1.22E-06,1.18E-05,0.002274111,0.002491332,0.006429408,11.28501714,0.117385467,0.002341646
7.381559694,0.001573451,1.45E-07,9.46E-09,9.69E-07,2.08E-05,0.003502104,0.003621371,0.033798257,0.122,1.22E-06,0.000526105,0.001189973,0.000888796,0.003621372,8.256638847,0.120125382,0.000685875
6.364547943,0.005913081,4.16E-08,8.09E-09,3.10E-07,7.06E-05,0.000924069,0.002939128,0.096155953,0.122,1.22E-06,1.20E-05,0.002150674,0.003703854,0.002939128,11.75039875,0.117640107,0.002210447
7.944947617,0.004111088,7.51E-08,1.12E-09,6.76E-07,6.42E-05,0.005392332,0.004174483,0.057867881,0.122,1.22E-06,1.24E-05,0.001820704,0.002238541,0.004174483,11.41698927,0.11830675,0.001873768
7.858094623,0.004155845,1.86E-07,9.32E-09,2.14E-07,6.56E-05,0.004909512,0.001917738,0.050123209,0.122,1.22E-06,1.28E-05,0.001617537,0.002485511,0.001917738,11.63512735,0.118712139,0.001671554
7.07763802,0.009351181,5.14E-08,7.64E-09,4.30E-07,3.03E-05,0.000946637,0.008805814,0.051971899,0.122,1.22E-06,1.09E-05,0.003558223,0.005773537,0.008805814,11.73438236,0.114864141,0.003578864
6.869073716,0.006594948,1.01E-07,8.87E-09,3.47E-07,4.86E-05,0.008919743,0.001123646,0.039438599,0.122,1.22E-06,1.22E-05,0.002148635,0.004409873,0.001123646,11.88939006,0.117666299,0.002186295
7.753769302,0.004627242,1.71E-07,6.15E-09,3.86E-07,4.42E-05,0.002255112,0.009241528,0.023723029,0.122,1.22E-06,9.58E-05,0.002680713,0.001998188,0.009241534,8.760204946,0.11669024,0.002630276
6.117220553,0.006020543,1.95E-07,5.58E-09,9.12E-07,8.28E-05,0.006935054,0.008787998,0.003716204,0.122,1.22E-06,1.13E-05,0.002886781,0.003062227,0.008787998,11.25481464,0.116154908,0.002959537
6.477640275,0.00664826,7.10E-08,7.23E-09,6.71E-07,3.63E-05,0.000616114,0.001691452,0.068100556,0.122,1.22E-06,1.21E-05,0.002211825,0.004412227,0.001691452,11.86945198,0.11755215,0.002237254
6.521578523,0.007702217,1.61E-07,7.43E-09,9.94E-07,4.01E-05,0.007354283,0.005258443,0.071473829,0.122,1.22E-06,1.14E-05,0.002793655,0.004879916,0.005258443,11.77928374,0.116384051,0.002823522
7.59062743,0.004330624,1.78E-07,8.94E-09,3.78E-07,5.97E-05,0.008725054,0.004546253,0.012297567,0.122,1.22E-06,1.22E-05,0.001921939,0.002361219,0.004546253,11.41931956,0.118108664,0.001970626
7.599040464,0.001875045,9.86E-08,3.70E-09,3.82E-07,4.30E-05,0.002171705,0.005464865,0.038710016,0.122,1.22E-06,0.001726453,0.002039363,0.001519142,0.005464861,7.568930707,0.119604738,0.000357122
7.499248083,0.003492429,1.82E-07,1.69E-09,7.09E-07,5.89E-05,0.007816075,0.002941409,0.00428653,0.122,1.22E-06,1.30E-05,0.001523488,0.001923051,0.002941409,11.43665976,0.118907135,0.001570599
6.511171638,0.003306611,1.66E-08,5.93E-09,6.90E-07,3.22E-05,0.000129986,0.008459358,0.021501636,0.122,1.22E-06,0.001805034,0.00291351,0.002165982,0.008459345,7.440108694,0.117945866,0.001141846
6.026038332,0.007261122,1.55E-07,6.35E-09,7.89E-07,9.10E-05,0.007946158,0.007355049,0.095432483,0.122,1.22E-06,1.12E-05,0.00294723,0.004234145,0.007355049,11.61035529,0.116025799,0.003028197
7.952443898,0.004788489,1.29E-07,7.15E-09,5.51E-07,1.22E-05,0.006767214,0.008728102,0.039538294,0.122,1.22E-06,1.21E-05,0.002610209,0.002178189,0.008728102,10.69333139,0.116779498,0.002611521
7.099300325,0.001450982,6.85E-08,3.82E-09,4.11E-07,5.98E-06,0.005895622,0.00774231,0.040624239,0.122,1.22E-06,0.004175044,0.004167847,0.001452185,0.007742215,6.984340213,0.117833326,0
6.502681583,0.007143997,2.07E-08,2.99E-09,4.02E-07,9.84E-05,0.000680669,0.009603497,0.092533964,0.122,1.22E-06,1.10E-05,0.003243428,0.003813154,0.009603497,11.40198657,0.115425732,0.003332063
6.274352988,0.006568663,8.65E-08,5.53E-09,7.69E-07,9.43E-05,0.005737277,0.009423019,0.022473007,0.122,1.22E-06,1.11E-05,0.003099155,0.00338632,0.009423018,11.30283517,0.115718506,0.003183564
7.488624885,0.00404972,8.60E-08,2.63E-09,4.48E-07,1.66E-05,0.00765637,0.003238746,0.061105265,0.122,1.22E-06,1.26E-05,0.001722037,0.002323643,0.003238746,11.51435537,0.118551889,0.001727297
6.968782333,0.007027032,9.10E-08,2.90E-10,5.68E-07,8.78E-05,0.006838401,0.00781095,0.0112005,0.122,1.22E-06,1.12E-05,0.002960368,0.003990026,0.00781095,11.54765981,0.116002626,0.003038226
6.351282251,0.007195643,1.41E-07,5.79E-09,7.28E-07,4.62E-05,0.009107945,0.00483101,0.069723577,0.122,1.22E-06,1.15E-05,0.002638322,0.004522622,0.00483101,11.75978861,0.116688663,0.002674241
6.862642966,0.004995624,1.13E-07,1.24E-09,5.87E-07,6.99E-05,0.003696261,0.003874361,0.096807247,0.122,1.22E-06,1.21E-05,0.002020935,0.002916888,0.003874361,11.59010041,0.117900331,0.002079956
6.516275157,0.008900068,1.67E-07,5.49E-09,7.74E-07,8.09E-06,0.001731182,0.001415349,0.093940099,0.122,1.22E-06,1.17E-05,0.002662513,0.006241213,0.001415349,12.00226821,0.116678638,0.002660075
6.306762786,0.003109366,1.16E-07,8.94E-09,2.37E-07,1.86E-05,0.009861824,0.007418207,0.046027845,0.122,1.22E-06,0.001200145,0.002459813,0.001831134,0.007418203,7.660564904,0.118261963,0.001279452
6.479689418,0.00197466,1.56E-07,6.97E-09,6.21E-07,1.56E-05,0.003546859,0.006083662,0.01324416,0.122,1.22E-06,0.002048624,0.002297475,0.001710169,0.006083649,7.461423228,0.11943804,0.000265708
6.848679265,0.003046564,1.34E-07,5.40E-09,4.67E-07,7.40E-05,0.00602546,0.008950808,0.024123236,0.122,1.22E-06,0.002745754,0.003281623,0.00243673,0.008950776,7.237535849,0.118108546,0.000611046
